[400. 367.],[347. 317.],[301. 379.],[331. 318.],[345. 392.],[336. 361.],[379. 310.],[318. 364.],[387. 334.],[344. 323.],[352. 305.],[311. 369.],[398. 355.],[373. 310.],[313. 396.],[317. 350.],[328. 302.],[344. 398.],[387. 357.],[311. 355.],[303. 312.],[315. 360.],[397. 374.],[375. 379.],[324. 393.],[327. 314.],[304. 395.],[314. 339.],[363. 327.],[357. 387.],[326. 309.],[313. 356.],[300. 393.],[302. 367.],[307. 396.],[321. 357.],[398. 374.],[311. 312.],[377. 385.],[322. 399.],[343. 384.],[314. 363.],[308. 362.],[384. 335.],[341. 314.],[337. 330.],[342. 352.],[372. 390.],[339. 314.],[336. 362.]
[398.97330446 364.26897005],[349.09471746 315.88444442],[299.34717796 381.78067342],[331.41568593 318.30755137],[343.5708443  391.35553807],[335.99277893 346.84750184],[376.65245016 309.22615443],[327.2621343  366.89905134],[392.64527533 332.50028353],[344.05597185 322.87883285],[350.50314225 307.76782778],[314.68809068 370.88847643],[400.1519055  351.75971572],[369.99153199 311.55712713],[312.5202004  394.01441789],[318.58675661 350.22261114],[328.74610881 300.93019687],[341.51707852 396.69673608],[388.24480492 354.73016658],[303.53534038 350.50336351],[305.09861124 313.48805977],[321.6556123  358.51919001],[382.84789261 374.1054171 ],[374.74276417 377.40530572],[320.72695579 394.38336512],[324.47657352 316.03374954],[297.13687597 394.52161706],[312.93584774 340.95816863],[364.08353699 323.96918103],[353.82129185 385.65420721],[327.26839197 309.37774088],[312.52814456 356.09870868],[299.01735951 390.87429916],[301.00465238 368.12681148],[303.77784267 398.5071573 ],[320.75025735 343.26626424],[394.99611145 373.37447903],[310.92890452 313.53065916],[373.90747253 384.527264  ],[318.96342638 398.27094275],[340.50017753 383.66024408],[319.44868889 363.88410028],[310.35448004 362.22377016],[382.03104838 332.67565832],[354.48147462 315.50192862],[335.30287259 328.71993697],[342.61560026 351.4136504 ],[368.08446173 389.42866473],[337.73078848 315.28112235],[335.38799002 360.549429  ]
[398.74905813 363.79058287],[349.42756015 315.72362361],[299.07107969 382.22201264],[331.48457153 318.38389898],[343.31490589 391.22089267],[336.01180707 344.47228961],[376.32115146 309.11343325],[328.85235919 367.39452397],[393.54767861 332.22368905],[344.11778621 322.88369132],[350.29703756 308.20059623],[315.34725697 371.25240087],[400.4385504  351.20638774],[369.48535073 311.83055645],[312.36610623 393.67511099],[318.87036074 350.21479389],[328.88277522 300.78008927],[341.02741783 396.5170843 ],[388.39770925 354.32971796],[302.33409626 349.73189266],[305.4443567 313.7649625],[322.84967656 358.25924253],[380.52126471 374.0703542 ],[374.61363532 377.0944715 ],[320.21756892 394.51342047],[324.02738228 316.39872723],[295.92287264 394.52391354],[312.76056312 341.1869894 ],[364.28663431 323.4761168 ],[353.25309172 385.41167222],[327.47081602 309.44496206],[312.46489353 356.03746732],[298.852519   390.48480312],[300.84899257 368.31599996],[303.23506538 398.93448078],[320.73597838 340.93394907],[394.41841679 373.25157559],[310.99876249 313.80944177],[373.33841013 384.43321254],[318.39929521 398.25449544],[340.04367688 383.5748558 ],[320.41302715 364.0592097 ],[310.74537392 362.27877684],[381.740439   332.26380717],[356.76780789 315.76111669],[335.01664242 328.46095752],[342.74447419 351.23884415],[367.31452121 389.33829104],[337.54285475 315.47974729],[335.36543235 360.28052059]
[398.49449873 363.34661292],[349.73159861 315.6072166 ],[298.82743934 382.58627754],[331.5407568  318.47449935],[343.07125413 391.07724534],[336.03765827 342.33777883],[376.08319156 309.02900014],[330.29794654 367.85056236],[394.3040375  331.95540724],[344.22539498 322.90979437],[350.15459432 308.55815513],[315.97204596 371.61540454],[400.62069539 350.70482541],[369.0423636  312.08407432],[312.15500362 393.36357531],[319.14465108 350.155376  ],[329.01771052 300.67614222],[340.51790805 396.39385894],[388.4787367  353.95394356],[301.32080369 349.03051724],[305.73724756 314.00720437],[323.98028097 358.02049789],[378.47533455 373.99473891],[374.39474919 376.80349252],[319.80828984 394.52956149],[323.60725064 316.74384001],[294.7940815  394.57310635],[312.6074983  341.30739394],[364.49238034 323.05775767],[352.71386921 385.17860388],[327.64406721 309.51084041],[312.43617806 355.95461376],[298.69888733 390.13171365],[300.72643761 368.48360316],[302.74840914 399.31968263],[320.74734405 338.83927436],[393.8284459 373.1240062],[311.1516152  314.04046817],[372.78173895 384.33585563],[317.82317746 398.34703112],[339.600867   383.47248338],[321.32010449 364.23603153],[311.09624166 362.34580936],[381.51804944 331.87793954],[358.78931172 315.99544105],[334.76313934 328.19200324],[342.89477724 351.05635962],[366.52114432 389.26154934],[337.4049942 315.6398333],[335.42281813 360.01316462]
[398.19039796 362.91256891],[350.03676699 315.53256739],[298.60255113 382.89089411],[331.58430286 318.58320838],[342.82435441 390.92028585],[336.07904536 340.32394441],[375.91856568 308.96713882],[331.6816258  368.29330985],[394.95874311 331.68216396],[344.3722388  322.93516541],[350.06446355 308.86355137],[316.59823194 371.99255533],[400.70923001 350.22605723],[368.64567903 312.32884622],[311.87620137 393.05771717],[319.4278761  350.04099821],[329.16163919 300.61157224],[339.95728014 396.31587351],[388.49191543 353.58115344],[300.43842091 348.35937551],[305.99338438 314.23064231],[325.10662746 357.79166065],[376.60939096 373.84693815],[374.05240888 376.58224499],[319.47562687 394.44767093],[323.19717852 317.08641975],[293.69758661 394.65078973],[312.47474775 341.3430529 ],[364.71710455 322.69659906],[352.1722761  384.94115446],[327.80201698 309.58027714],[312.44088994 355.84617562],[298.54275746 389.81299643],[300.63435782 368.63902792],[302.28736371 399.68402041],[320.79722956 336.86507874],[393.18842516 372.98465717],[311.39743243 314.24010554],[372.17091143 384.24816885],[317.20345036 398.53767309],[339.16654095 383.33982287],[322.222754   364.41962589],[311.43577653 362.42835711],[381.34592504 331.49760755],[360.64551579 316.21290359],[334.53043008 327.90216428],[343.07182751 350.85444723],[365.66090935 389.1932291 ],[337.31320313 315.77017147],[335.56017282 359.73059056]
[397.85333043 362.51564181],[350.33913035 315.50936427],[298.40105543 383.12862339],[331.61167255 318.70071363],[342.58724696 390.76506085],[336.13729574 338.54623026],[375.82661861 308.92948765],[332.93395918 368.69487225],[395.48065227 331.42282894],[344.54691746 322.95849269],[350.02550881 309.10312685],[317.18817435 372.35533387],[400.705289  349.7979459],[368.32587711 312.54468684],[311.55503908 392.7726447 ],[319.73238381 349.89525151],[329.3086997  300.58676565],[339.41897772 396.2792833 ],[388.44025675 353.23415565],[299.7325713  347.75721618],[306.20257827 314.4254335 ],[326.15670399 357.58678121],[375.04166291 373.58417752],[373.6417788  376.51043195],[319.22604395 394.29931956],[322.82656373 317.40439716],[292.70590806 394.73840169],[312.37832763 341.30962112],[364.94980431 322.42053369],[351.6903532  384.72278596],[327.94016263 309.64943075],[312.47762343 355.72223393],[298.39150294 389.55827785],[300.57991994 368.7738821 ],[301.8564748  400.00105346],[320.85816785 335.11173234],[392.53690309 372.84359882],[311.71229767 314.40099628],[371.54805736 384.17645358],[316.58437328 398.7873519 ],[338.76663065 383.18825805],[323.06814147 364.59509175],[311.75233595 362.51935523],[381.22568733 331.14686158],[362.22450805 316.39692582],[334.32316186 327.61393522],[343.26182694 350.64604273],[364.79412194 389.13627936],[337.27306959 315.86479869],[335.76166873 359.45192629]
[397.50882871 362.17439588],[350.62413957 315.52985379],[298.23196174 383.29407797],[331.62444784 318.81610103],[342.37167327 390.62501427],[336.19446383 337.06010291],[375.79286685 308.91261838],[334.00795892 369.03734742],[395.86751206 331.19258645],[344.7314095 322.9790104],[350.0261016  309.27716267],[317.71533518 372.6762741 ],[400.63041933 349.43723407],[368.095775   312.71531825],[311.22602437 392.52043376],[320.03487656 349.73683322],[329.45178479 300.59365043],[338.93139064 396.27243591],[388.34157965 352.93000697],[299.20944367 347.24716093],[306.36648305 314.58750962],[327.07717438 357.41340742],[373.78307289 373.19337927],[373.25322789 376.5488298 ],[319.04806255 394.12512351],[322.5114476 317.6631485],[291.86353913 394.82192867],[312.3224151  341.23188421],[365.17497533 322.23928313],[351.28231116 384.53394343],[328.0572683  309.71381215],[312.52531421 355.59211601],[298.25290748 389.37727707],[300.56079083 368.88417449],[301.47620253 400.26107429],[320.91922231 333.64087837],[391.91586981 372.70989009],[312.05574393 314.52293349],[370.95674972 384.12171788],[316.00914216 399.0510173 ],[338.41905994 383.03320129],[323.8160487  364.75098739],[312.03659773 362.60964445],[381.14907531 330.84257515],[363.49704546 316.5411522 ],[334.14986036 327.34691673],[343.44908211 350.44559214],[363.98104055 389.08996445],[337.2775001  315.92544894],[335.99907209 359.19589369]
[397.13966677 361.86364271],[350.91139133 315.5886037 ],[298.08300346 383.40305314],[331.61496322 318.91310088],[342.162408   390.49421452],[336.25358459 335.7398077 ],[375.80305211 308.91190723],[334.987388   369.34457034],[396.16154916 330.97735476],[344.93205476 322.9982162 ],[350.05726729 309.40591808],[318.21471976 372.97526925],[400.49374835 349.11526794],[367.9391539  312.84279694],[310.87978316 392.28318456],[320.35054499 349.56286865],[329.60078003 300.62580709],[338.46258919 396.28598129],[388.19925982 352.64675849],[298.81399302 346.78982483],[306.50562518 314.73114321],[327.93000508 357.24477801],[372.66789209 372.68123996],[372.88841717 376.6335292 ],[318.91335516 393.9333682 ],[322.2314717  317.88522387],[291.10872045 394.902117  ],[312.30178754 341.11900884],[365.40293402 322.13911782],[350.91416396 384.36077538],[328.1649443  309.77670994],[312.58644667 355.45214036],[298.11828839 389.25439237],[300.57257507 368.97924094],[301.1202872 400.4857668],[320.98506319 332.32504714],[391.28879965 372.57506582],[312.43336681 314.61847641],[370.36432813 384.07748915],[315.44678334 399.3268996 ],[338.10213592 382.87840571],[324.51886753 364.89591585],[312.31221622 362.70172084],[381.10164301 330.56364828],[364.57112154 316.66379963],[333.9969586  327.08519431],[343.64235573 350.24188649],[363.17710636 389.04837375],[337.32030359 315.96046559],[336.27742578 358.94853701]
[396.74804381 361.58084073],[351.20166293 315.68030567],[297.95361271 383.45871927],[331.58796715 318.97800404],[341.95822705 390.37508272],[336.31755199 334.57556132],[375.84969194 308.92518486],[335.88527139 369.62011632],[396.37337401 330.77793522],[345.13188779 323.01444914],[350.11315101 309.49553355],[318.6870378  373.25133679],[400.30315404 348.82815129],[367.8547319  312.91264442],[310.52486134 392.06040552],[320.67700466 349.37804766],[329.75665062 300.67850015],[338.0125797  396.31413941],[388.01853659 352.38228431],[298.53369336 346.38113541],[306.62797497 314.85845802],[328.71597945 357.08058369],[371.65001408 372.10471148],[372.54969093 376.72192921],[318.81086785 393.73619156],[321.98756253 318.07379967],[290.43712396 394.97622944],[312.31585691 340.98023585],[365.62756622 322.11905972],[350.58113634 384.20185687],[328.26589931 309.83700731],[312.66129201 355.30559682],[297.9881594  389.18656865],[300.6139245 369.0603616],[300.78806124 400.67804582],[321.05388068 331.15265176],[390.65706547 372.43911072],[312.82877376 314.6895467 ],[369.77352826 384.04162206],[314.90144702 399.60333238],[337.81254054 382.7262392 ],[325.17929809 365.02883604],[312.58299831 362.79302207],[381.07696831 330.30935087],[365.46740419 316.77922607],[333.86225612 326.82896745],[343.83974912 350.03608828],[362.38725759 389.00949367],[337.39732896 315.97248182],[336.58615331 358.74707599]
[396.35014504 361.29484501],[351.49489332 315.79891671],[297.84319635 383.46575778],[331.54774669 319.01362691],[341.7813574  390.25742855],[336.3889499 333.5584032],[375.92646843 308.95053072],[336.70948864 369.86431613],[396.51282545 330.5941746 ],[345.33178407 323.02993939],[350.18905925 309.5522817 ],[319.13987155 373.50495723],[400.06546121 348.57193232],[367.83339859 312.91114882],[310.16875203 391.85189627],[321.01204206 349.18705628],[329.90578903 300.7460852 ],[337.58178763 396.35178372],[387.80383057 352.13431539],[298.35693487 346.01738924],[306.74022022 314.9713519 ],[329.43636526 356.92097798],[370.71009316 371.50839264],[372.23350051 376.79095121],[318.73200311 393.54179614],[321.78004459 318.23181194],[289.84398098 395.04259207],[312.35293631 340.83628853],[365.84230603 322.1734351 ],[350.27938455 384.05524301],[328.36212986 309.89364079],[312.74987154 355.15563148],[297.86307608 389.16867477],[300.66121317 369.1339304 ],[300.47864369 400.84077986],[321.12439492 330.11349439],[390.02216517 372.30172478],[313.23151519 314.73811871],[369.1867512  384.01187195],[314.37619735 399.87229732],[337.54758269 382.57846677],[325.79998163 365.14976916],[312.85978452 362.88325561],[381.06945065 330.07873984],[366.21416561 316.90412079],[333.74306204 326.57832163],[344.03954054 349.83000174],[361.61584372 388.97173743],[337.50453014 315.96423966],[336.92152784 358.58727807]
[395.94627421 361.00776689],[351.79063023 315.93838323],[297.73343688 383.44051361],[331.49851692 319.02237647],[341.62747963 390.14395011],[336.46231384 332.67497801],[376.02806836 308.98628271],[337.46066162 370.09256838],[396.60019606 330.42944829],[345.53215265 323.04659132],[350.28136046 309.58225347],[319.57360185 373.73598984],[399.78679748 348.3433534 ],[367.85758702 312.8336903 ],[309.81744485 391.65764504],[321.35366465 348.99411888],[330.05042528 300.82438942],[337.17041942 396.39491112],[387.55908309 351.90118866],[298.25228806 345.68060475],[306.84773316 315.07175294],[330.09311619 356.76620129],[369.83907926 370.91915602],[371.93585143 376.8300203 ],[318.67012609 393.35549415],[321.60877335 318.36194555],[289.3236812  395.10052389],[312.41275059 340.68999839],[366.04194777 322.29297931],[350.00533493 383.9191946 ],[328.44494127 309.9310873 ],[312.85152249 355.00482475],[297.7430231  389.19445747],[300.71557258 369.20047743],[300.19101025 400.976868  ],[321.19577108 329.19830505],[389.38556018 372.16284142],[313.63271353 314.76541753],[368.6059673  383.98611796],[313.87294037 400.12863442],[337.30453351 382.43672114],[326.38350815 365.25919999],[313.14235005 362.97004648],[381.07444516 329.87088497],[366.84444215 317.04845597],[333.63608072 326.33322818],[344.23999576 349.62545798],[360.86638812 388.93407464],[337.63784122 315.93820893],[337.2799625  358.46560335]
